period,rows,iterations,empty_clusters,mean_centroid_shift,max_centroid_shift,warm_vs_transferred_ari,warm_vs_transferred_ami,warm_vs_transferred_vi_bits,profiles,median_matched_jaccard,n_matched_ge_0.5,n_matched_ge_0.75,share_matched_ge_0.5,cold_refit_k,cold_ari,cold_median_matched_jaccard,cold_n_matched_ge_0.5
test,2584530,54,0,0.22623111392068,0.7794970500219712,0.6343019083636114,0.7886800030617589,1.8133088158799275,31,0.6150188431089865,24,12,0.8375770449559494,36,0.20898674186553218,0.06170205288603947,0
future,456292,75,0,0.6234922246827004,1.2310745619720125,0.34039543469044076,0.6849054172733124,2.2780553495308613,31,0.4367980944935896,14,6,0.26979309066674845,37,0.1124193518379957,0.013567111368850858,0
