period,profile,jaccard,share,centroid_shift
test,0,0.5437325966607601,0.01916518670706086,0.10867541551849927
test,1,0.5686198240575319,0.056993728066611724,0.10668595168527549
test,2,0.3582097045460251,0.03884884292308466,0.1579926793700204
test,3,0.448483424004953,0.04660344433997671,0.17533142416592262
test,4,0.5219334890064768,0.048892061612749706,0.14325614624152447
test,5,0.5238058515970819,0.09687912309007828,0.19917837006586683
test,6,0.7693978815957897,0.06321884443206309,0.029729719359687136
test,7,0.5655787804700927,0.11977690334412833,0.29236602544808427
test,8,0.7807505275713368,0.01875544102796253,0.12389953678633539
test,9,0.11590903527453428,0.009145569987579948,0.7794970500219712
test,10,0.7726396013049459,0.15578693224686888,0.2973229569533163
test,11,0.7021185645474071,0.02880949340885964,0.10665754870548726
test,12,0.6150188431089865,0.01936444924222199,0.15973817364876708
test,13,0.6780106977790856,0.021027033928799434,0.09522672723338355
test,14,0.3417380491848577,0.026196252316668795,0.20663551744655798
test,15,0.17711712194729645,0.028034497568223234,0.3338075765592685
test,16,0.5404878180032557,0.020467164242628254,0.1854413326314712
test,17,0.8129884629698548,0.018100002708422807,0.04512837273853641
test,18,0.5114563643907611,0.0134508014996924,0.18047170022602252
test,19,0.2007574718006422,0.011057329572494806,0.4164665058350196
test,20,0.6929415979935507,0.01537494244601533,0.19818044068455504
test,21,0.5980584044468802,0.02089277354103067,0.29190974900856526
test,22,0.7931629571352435,0.07358784769377798,0.26060360420635204
test,23,0.8635778635778636,0.007245417928985154,0.10949202317507753
test,24,0.8160618878005342,0.005771649003880783,0.24068140038897096
test,25,0.10012157233553964,0.0025370183360224102,0.63140936409994
test,26,0.8117575388364301,0.00461979547538624,0.2637484068629623
test,27,0.911323051948052,0.003525592660948025,0.2270901050175303
test,28,0.8874453135357285,0.002602794318502784,0.29925531522748816
test,29,0.9777614409115971,0.0020761995411157927,0.15685544676517155
test,30,0.9652364547447542,0.0011928667881587755,0.190429945463448
future,0,0.7279102507511888,0.043922521184068405,0.3116863780406099
future,1,0.26821673188414236,0.007468125890363051,0.5094045431685288
future,2,0.0,0.00013039865236986022,0.849680630300175
future,3,0.22722468258298628,0.0029231650964968324,0.26887044030972534
future,4,0.3173862498813414,0.008531904048853678,0.6728873958303985
future,5,0.5190831958224853,0.0341158582142806,0.5562738908978028
future,6,0.0,0.006096585602611111,0.5036234270811877
future,7,0.48798237123427235,0.02162170256147173,0.5853430996224427
future,8,0.22838729440044703,0.010384049571618882,0.5040582102730552
future,9,0.0,3.889949106327125e-05,1.0252574078779364
future,10,0.41323220261694216,0.44966726110388777,0.5638292993448222
future,11,0.0,0.0008629043739898692,0.677192354178869
future,12,0.31958830350415907,0.18601945000526207,0.6508829349443037
future,13,0.518618339303229,0.02233963814846195,0.43066336965532775
future,14,0.12589038457816523,0.013835732230114367,0.6035078648522966
future,15,0.0,0.0025136483500206638,0.7837656533921495
future,16,0.33767930724398304,0.011916977025809058,0.5398529097454929
future,17,0.7619892789578396,0.018716887602802223,0.4466191828475343
future,18,0.0,0.0007045943962131215,0.5482528659602736
future,19,0.0,0.0005917123457593688,1.0794048579121256
future,20,0.8201159688758122,0.013709350911572655,0.4636693601763964
future,21,0.4367980944935896,0.006899798587346893,0.7450883198761183
future,22,0.5088039651720611,0.11147001056736304,1.2310745619720125
future,23,0.8324592320027845,0.0074054107400026385,0.4859646138359992
future,24,0.6362214000185105,0.004475225860881772,0.6647243354941981
future,25,0.7460545270308728,0.0029374264851745983,0.44339505191053125
future,26,0.8567436967491928,0.003646483113366295,0.4581055309131195
future,27,0.9064682948454363,0.0029220338303973434,0.45062521078246237
future,28,0.5258848287281838,0.0016986613155190074,0.689654169792047
future,29,0.6792862030399005,0.0011534013667834106,0.8771306533156353
future,30,0.9203256397234705,0.0012801813260744847,0.7077704408601391
