method,k_fit,fit_seconds,predict_eval_seconds,common_k,common_n,common_silhouette,common_silhouette_sd,common_dbi,common_chi,common_chi_dedup,common_dedup_fraction,own_silhouette,own_dbi,own_chi,predict_test_seconds,test_k_used,test_max_share,noise_share
ZSH,31,20.609209775924683,0.14296340942382812,31,200000,0.20660002231597902,0.003011445003841277,1.9175954610608168,36720.25380929832,27329.520512762883,0.80915,0.3021372616291046,1.1149258284045689,132881.03333693315,1.9100816249847412,31.0,0.15315860137046194,
KMeans++,31,6.841536283493042,0.13843369483947754,31,200000,0.2852368116378784,0.001856978194472023,1.185648102318502,54140.96415104029,40650.85191258391,0.80915,0.28563953638076783,1.185648102318502,54140.96415104029,1.9300541877746582,31.0,0.18715549829175904,
MiniBatchKMeans,31,5.944389820098877,0.15924382209777832,31,200000,0.26909765005111697,0.0023090449862654657,1.2401179268002425,51143.437065122176,37968.80386346465,0.80915,0.2691225647926331,1.2401179268002425,51143.4370651222,1.975679874420166,31.0,0.17745276704081595,
GMM (diag),31,22.131025075912476,0.22305870056152344,31,200000,0.15559976398944855,0.0020284979156607193,2.6422299046453968,17804.98410585936,12671.169622266583,0.80915,0.15640679597854615,2.6422299046453968,17804.98410585936,3.0421061515808105,31.0,0.39092252750016443,
BIRCH,31,26.918099880218506,17.64483094215393,31,200000,0.18244569897651672,0.00223164809665219,1.3123442500172087,20419.011994536555,19485.586479368827,0.80915,0.18229677975177766,1.3123442500172087,20419.01199453655,226.57220649719238,31.0,0.6289758679527806,
Ward (sample + NC),31,27.8373863697052,0.1450366973876953,31,200000,0.26636937260627747,0.001464509037596975,1.2216770889242874,52041.80479642726,38593.17964423667,0.80915,0.26682646870613097,1.2216770889242874,52041.804796427255,1.9058036804199219,31.0,0.2092252750016444,
VKV-partial (k=5),5,16.35574698448181,0.04976844787597656,5,200000,0.18089984655380248,0.015476212842495667,2.0045567348480575,10217.090134729176,8862.900837537081,0.80915,0.7643958076372215,0.5876858097732961,58280.443843447436,0.47847914695739746,5.0,0.5485631817003478,
VKV-partial (k=31),31,180.13936614990234,0.09305143356323242,31,200000,0.04455575570464134,0.007289167321645509,4.679342839726077,5720.956578027319,5011.814269611079,0.80915,0.4751829923576464,0.7246986850327,59953.22000021251,1.0205416679382324,31.0,0.3955252986036146,
HDBSCAN (own sample),70,24.09548044204712,,70,27976,0.27469298243522644,0.0018914143491635487,0.8894838072703256,3334.274679317646,2436.3005039689206,0.8202387760937947,,,,,,,0.44048
