kind,method,pairs,pairwise_ari_mean,pairwise_ari_sd,pairwise_ari_min
seed,ZSH,45,0.8146605294954432,0.07543298505144919,0.7085401983319626
seed,KMeans++ K*,45,0.7863212279131544,0.05865503825048481,0.6886952561202682
seed,RPW K* (no refinement),45,0.8309059043468431,0.07382916604544337,0.6561247374165794
bootstrap,ZSH,435,0.803068192406328,0.06085276379436385,0.6888261128076614
bootstrap,KMeans++ K*,435,0.7713682339218325,0.05156775811776371,0.6426566932629092
bootstrap,RPW K* (no refinement),435,0.806772553272734,0.07228963520467468,0.6563754679759881
null,ZSH,45,0.6095131798772638,0.14216709973428857,0.3620013559780323
