kind,replicate,method,cluster,jaccard
seed,1,ZSH,25,0.8986526069127123
seed,1,ZSH,26,0.6268656716417911
seed,1,ZSH,27,0.4401268834258525
seed,1,ZSH,28,0.171349608475357
seed,1,ZSH,29,0.8440860215053764
seed,1,ZSH,30,0.7460732984293194
seed,1,KMeans++ K*,0,0.9556283052127927
seed,1,KMeans++ K*,1,0.7157680081569003
seed,1,KMeans++ K*,2,0.4890082122552116
seed,1,KMeans++ K*,3,0.5669257105592087
seed,1,KMeans++ K*,4,0.9183749257278669
seed,1,KMeans++ K*,5,0.3710994764397906
seed,1,KMeans++ K*,6,0.8955106533532511
seed,1,KMeans++ K*,7,0.4064967105263158
seed,1,KMeans++ K*,8,0.6570254592330004
seed,1,KMeans++ K*,9,0.8826575583957691
seed,1,KMeans++ K*,10,0.6193742365874284
seed,1,KMeans++ K*,11,0.8007399577167019
seed,1,KMeans++ K*,12,0.6309460181721005
seed,1,KMeans++ K*,13,0.8092493481542473
seed,1,KMeans++ K*,14,0.7734510905928007
seed,1,KMeans++ K*,15,0.41446129003319276
seed,1,KMeans++ K*,16,0.9270670826833073
seed,1,KMeans++ K*,17,0.9538731511657057
seed,1,KMeans++ K*,18,0.790893760539629
seed,1,KMeans++ K*,19,0.5999466950959488
seed,1,KMeans++ K*,20,0.9459134615384616
seed,1,KMeans++ K*,21,0.7320963541666666
seed,1,KMeans++ K*,22,0.982695810564663
seed,1,KMeans++ K*,23,0.8796778777830412
seed,1,KMeans++ K*,24,0.5242408098028769
seed,1,KMeans++ K*,25,0.648729446935725
seed,1,KMeans++ K*,26,0.9631284916201117
seed,1,KMeans++ K*,27,0.652046783625731
seed,1,KMeans++ K*,28,0.1244047619047619
seed,1,KMeans++ K*,29,0.9964912280701754
seed,1,KMeans++ K*,30,0.21883408071748878
seed,1,RPW K* (no refinement),0,0.8473155013781591
seed,1,RPW K* (no refinement),1,0.9641165654426924
seed,1,RPW K* (no refinement),2,0.9156976744186046
seed,1,RPW K* (no refinement),3,0.7877501163331783
seed,1,RPW K* (no refinement),4,0.9218225419664269
seed,1,RPW K* (no refinement),5,0.9181749880472645
seed,1,RPW K* (no refinement),6,0.60871783657701
seed,1,RPW K* (no refinement),7,0.946611484738748
seed,1,RPW K* (no refinement),8,0.8631971892841458
seed,1,RPW K* (no refinement),9,0.9470444928837031
seed,1,RPW K* (no refinement),10,0.7343383584589614
seed,1,RPW K* (no refinement),11,0.9677894048397645
seed,1,RPW K* (no refinement),12,0.57592722183345
seed,1,RPW K* (no refinement),13,0.8449585635359116
seed,1,RPW K* (no refinement),14,0.5763641349054017
seed,1,RPW K* (no refinement),15,0.7640700708162504
seed,1,RPW K* (no refinement),16,0.30708523325149073
seed,1,RPW K* (no refinement),17,0.4378433073142527
seed,1,RPW K* (no refinement),18,0.23994363310274147
seed,1,RPW K* (no refinement),19,0.5957920792079208
seed,1,RPW K* (no refinement),20,0.4691858990616282
seed,1,RPW K* (no refinement),21,0.2398856836652675
seed,1,RPW K* (no refinement),22,0.6826066572902016
seed,1,RPW K* (no refinement),23,0.6709511568123393
seed,1,RPW K* (no refinement),24,0.7911430281268701
seed,1,RPW K* (no refinement),25,0.7505226480836237
seed,1,RPW K* (no refinement),26,0.9722557297949337
seed,1,RPW K* (no refinement),27,0.17415470125057897
seed,1,RPW K* (no refinement),28,0.9293948126801153
seed,1,RPW K* (no refinement),29,0.86
seed,1,RPW K* (no refinement),30,0.9442508710801394
seed,2,ZSH,0,0.9644689870593485
seed,2,ZSH,1,0.6357731062349752
seed,2,ZSH,2,0.9066783712607198
seed,2,ZSH,3,0.9202958093672966
seed,2,ZSH,4,0.9122529099800262
seed,2,ZSH,5,0.6215670727312045
seed,2,ZSH,6,0.6967280035169252
seed,2,ZSH,7,0.8538152610441767
seed,2,ZSH,8,0.9316309719934102
seed,2,ZSH,9,0.9513297185644204
seed,2,ZSH,10,0.6227438821835899
seed,2,ZSH,11,0.6760993057016621
seed,2,ZSH,12,0.8973868706182282
seed,2,ZSH,13,0.8411246612466124
seed,2,ZSH,14,0.6674884944115713
seed,2,ZSH,15,0.8646371816963431
seed,2,ZSH,16,0.8193973258830572
seed,2,ZSH,17,0.7741793346552104
seed,2,ZSH,18,0.4353790613718412
seed,2,ZSH,19,0.18738495520922813
seed,2,ZSH,20,0.593167701863354
seed,2,ZSH,21,0.5870046763475265
seed,2,ZSH,22,0.16798395658841572
seed,2,ZSH,23,0.6446830265848671
seed,2,ZSH,24,0.8972677595628415
seed,2,ZSH,25,0.41823056300268097
seed,2,ZSH,26,0.8056872037914692
seed,2,ZSH,27,0.4880123743232792
seed,2,ZSH,28,0.817174515235457
seed,2,ZSH,29,0.8827977315689981
seed,2,ZSH,30,0.6963350785340314
seed,2,KMeans++ K*,0,0.9871904355251921
seed,2,KMeans++ K*,1,0.9918509159823121
seed,2,KMeans++ K*,2,0.9961669802773713
seed,2,KMeans++ K*,3,0.6830949803430004
seed,2,KMeans++ K*,4,0.8292790152403282
seed,2,KMeans++ K*,5,0.4933513082909492
seed,2,KMeans++ K*,6,0.77856216683475
seed,2,KMeans++ K*,7,0.3992543496271748
seed,2,KMeans++ K*,8,0.36891679748822603
seed,2,KMeans++ K*,9,0.8943700315800936
seed,2,KMeans++ K*,10,0.6675088428499242
seed,2,KMeans++ K*,11,0.9989431968295905
seed,2,KMeans++ K*,12,0.5016991391028546
seed,2,KMeans++ K*,13,0.16184245900170266
seed,2,KMeans++ K*,14,0.7157517309594461
seed,2,KMeans++ K*,15,0.4042041507081144
seed,2,KMeans++ K*,16,0.8186249789880652
seed,2,KMeans++ K*,17,0.93458177278402
seed,2,KMeans++ K*,18,0.6262487082328626
seed,2,KMeans++ K*,19,0.5288359788359789
seed,2,KMeans++ K*,20,0.9231082180634662
seed,2,KMeans++ K*,21,0.5797702616464582
seed,2,KMeans++ K*,22,0.9787234042553191
seed,2,KMeans++ K*,23,0.9942767950052029
seed,2,KMeans++ K*,24,0.7242284963887065
seed,2,KMeans++ K*,25,0.9281164695177434
seed,2,KMeans++ K*,26,0.9754189944134078
seed,2,KMeans++ K*,27,1.0
seed,2,KMeans++ K*,28,0.9752577319587629
seed,2,KMeans++ K*,29,0.9964912280701754
seed,2,KMeans++ K*,30,0.975609756097561
seed,2,RPW K* (no refinement),0,0.8264668250776823
seed,2,RPW K* (no refinement),1,0.9635776342169748
seed,2,RPW K* (no refinement),2,0.9058592958032033
seed,2,RPW K* (no refinement),3,0.7793900079663139
seed,2,RPW K* (no refinement),4,0.9217819749538082
seed,2,RPW K* (no refinement),5,0.8752840529340997
seed,2,RPW K* (no refinement),6,0.4340221454263347
seed,2,RPW K* (no refinement),7,0.9352965574450436
seed,2,RPW K* (no refinement),8,0.9497398427986272
