profile,deve_share,deve_lo,deve_hi,test_share,test_lo,test_hi,pros_share,pros_lo,pros_hi,jaccard_mean,jaccard_p05,jaccard_p95,replicates
0,0.08710680273098445,0.08459667791934103,0.08962580025124242,0.01916518670706086,0.018482959631524656,0.0198794927159201,0.043922521184068496,0.0416505473283031,0.046282125001239446,0.9741625425205068,0.9564636126979863,0.9988826893286168,30.0
1,0.07661982485234646,0.07572666632130949,0.07753325270211621,0.056993728066611724,0.05586605317665482,0.05814036502172235,0.007468125890363044,0.006551434635929189,0.008444437143867655,0.635884536999289,0.3160358615558437,0.9866120593547019,30.0
2,0.07306516879539922,0.07120719912004118,0.07483824830680792,0.03884884292308466,0.03744393710564793,0.04010836996125898,0.00013039865236985981,6.615571282808061e-05,0.00020509711194304644,0.9509499684240975,0.8893769932797546,0.9880287732475111,30.0
3,0.07066488949017098,0.068666854665791,0.07274208975706825,0.04660344433997671,0.04516434388315815,0.04814340269070591,0.002923165096496835,0.0022726365845485014,0.003683209694527045,0.9460511155183726,0.8991426434650881,0.9914633212946329,30.0
4,0.06944838429683939,0.06884641357136259,0.07004656321474768,0.048892061612749706,0.048254625163813965,0.049561771790671276,0.008531904048853662,0.007842843785234928,0.009210838618588072,0.9086895372777429,0.872337394781768,0.9669279893916439,30.0
5,0.06321947766043079,0.06242977500624655,0.06402488574930201,0.09687912309007828,0.09460950000475328,0.09914305170259581,0.03411585821427953,0.032144146585516724,0.03607533103101925,0.6927068247094137,0.38782409183610733,0.9764894786884384,30.0
6,0.060254587200449995,0.059429288958469106,0.06107734476848904,0.06321884443206309,0.06206510700098981,0.0643274156839735,0.006096585602611098,0.0051912854267045574,0.0071486170740556925,0.7289073756505269,0.37266939801551074,0.9330124222197823,30.0
7,0.05460423273496067,0.053927375728548554,0.05527671698296316,0.11977690334412833,0.11719906858137838,0.12207302977085745,0.021621702561471733,0.019755334824030506,0.023514059848515272,0.7062554346872376,0.4120948363318721,0.9780974093706056,30.0
8,0.04593049615470406,0.04550039223306589,0.04634971593963422,0.01875544102796253,0.018511023991061245,0.019005430806393088,0.010384049571618816,0.009681970509917188,0.011075896274191092,0.9329354523647508,0.9091827587021898,0.9781538635637915,30.0
9,0.03819535364115097,0.03670970425735065,0.039653497361781274,0.009145569987579948,0.008385143561160043,0.009911172678770638,3.8899491063271116e-05,2.7957549061041953e-06,0.00010862338102473362,0.9671185636860135,0.9364321702574723,0.9922421926106381,30.0
10,0.03814959074025583,0.037503875924214676,0.038822806993895016,0.15578693224686888,0.1520044035200298,0.15934138529444253,0.44966726110388655,0.44313732063561434,0.4558400130205451,0.8564354490549674,0.6149046865303636,0.9894909113202343,30.0
11,0.03287109772773559,0.032137330413061355,0.0335805868351845,0.02880949340885964,0.02766529605934599,0.030011030279759144,0.0008629043739898664,0.0005977934354958755,0.00123822747377616,0.6818122211678408,0.5666365763291832,0.7694130924988565,30.0
12,0.02999258095487475,0.02947509773375434,0.030523428749315813,0.01936444924222199,0.01892480656796548,0.0197880952891119,0.1860194500052645,0.18128208423993855,0.19096893528789533,0.9274282594747358,0.8746032558077798,0.9741646573952562,30.0
13,0.02851028725766877,0.028212829983898662,0.028788353944301445,0.021027033928799434,0.02070504586870564,0.021333720008878062,0.022339638148461828,0.021645951705836646,0.023128285534749864,0.7472225043636319,0.5640704836013815,0.8809407634098733,30.0
14,0.027031630347288896,0.026774151182643334,0.02730457853181951,0.026196252316668795,0.025840824121222575,0.026594810460689126,0.013835732230114311,0.013067155026886922,0.014641241034459709,0.6859135622110185,0.11774541269146198,0.9536381908135155,30.0
15,0.02323573409754347,0.02284267713570844,0.023612446825727555,0.028034497568223234,0.027177555999551392,0.028923958195597715,0.0025136483500206456,0.001934406391721003,0.0032278997818373976,0.5979387216135572,0.22954455569421367,0.8970809940632714,30.0
16,0.02306601737899198,0.022845967644191535,0.023293876535864143,0.020467164242628254,0.02021283719068766,0.020755438985036463,0.011916977025809046,0.011390290825059997,0.01247370171378108,0.8216590795003073,0.7665589558079025,0.869313098854229,30.0
17,0.021515836994365406,0.021241257514424093,0.021811615737558653,0.018100002708422807,0.017839882608562865,0.01836154597016099,0.018716887602802188,0.01798861885958802,0.019509382396460644,0.5409237672433413,0.24810837672449065,0.8017080784666728,30.0
18,0.020840909972554382,0.020461629053142198,0.021198438383302893,0.0134508014996924,0.013100640186402128,0.013802721859403367,0.0007045943962131183,0.0005593538992201844,0.0008543742434031125,0.570652596360004,0.43904088127328994,0.7644522807436844,30.0
19,0.01951924102683464,0.01900801435992516,0.01999976629440211,0.011057329572494806,0.01068118363860589,0.011417143406777696,0.0005917123457593668,0.00045178245014428607,0.0007518863759851667,0.45446870112493526,0.18908851692231118,0.702992137171365,30.0
20,0.017995124281128472,0.017783595100889532,0.018228508716470616,0.01537494244601533,0.015148229019470102,0.015589224913977157,0.013709350911572587,0.013132853448875445,0.014298186098363265,0.6107276192614433,0.3318372288190611,0.8489858575008951,30.0
21,0.01792693452813903,0.017709328193657607,0.018136599780035068,0.02089277354103067,0.02060956436057226,0.02119729161995704,0.006899798587346858,0.006493281828218587,0.007302942741145849,0.6566234333598863,0.5510050408239653,0.8937558402481871,30.0
22,0.014207410801741779,0.013877190419548213,0.014578929807089039,0.07358784769377798,0.07172523063058894,0.07568032078308193,0.11147001056736276,0.10805643376147514,0.11471418791383953,0.5362897966576777,0.20607367744909805,0.9885047527008272,30.0
23,0.009246227439799056,0.009100344705996672,0.009398417734841404,0.007245417928985154,0.0070833102690010235,0.007389575403671367,0.007405410740002591,0.007043333701700406,0.007765567955569528,0.6686462208310283,0.36295720954438154,0.830784560257582,30.0
24,0.009149246457769631,0.009036273000969083,0.009269985731481845,0.005771649003880783,0.00566475753195801,0.005880787416590312,0.004475225860881753,0.004111618760647429,0.0048499026053645785,0.8806351928798892,0.733332840030521,0.9464643023317543,30.0
25,0.00788091705216607,0.007758918015174719,0.00799876540350003,0.0025370183360224102,0.002467741561264828,0.002604517110144917,0.0029374264851745914,0.0027176866056034723,0.0031618675717596887,0.3734626649596376,0.15552632097274013,0.8513132559300236,30.0
26,0.006025549639715652,0.005925921790360402,0.0061265339256535494,0.00461979547538624,0.0045054839642074225,0.004736662531602313,0.0036464831133662815,0.003369216723319153,0.003931126401203132,0.5621117262842649,0.39385628975458503,0.7982882871686341,30.0
