variant,proxy_k,k,max_share_fit,max_share_test,fit_seconds,common_silhouette,common_dbi,common_chi,weights,kendall_tau_vs_reference,top_feature
K_p=10 (reference),10,31,0.089092,0.18193133761264138,101.7360143661499,0.2104366511106491,1.7903844213738556,39413.523680829625,input_count=0.0154;output_count=0.0332;vsize=0.1727;total_input_value=0.0216;fee=0.0940;fee_rate_sat_per_vbyte=0.0437;avg_output_value=0.0181;input_output_ratio=0.0264;size=0.4886;fee_rate_sat_per_byte=0.0611;has_op_return=0.0118;rbf_enabled=0.0134,0.9999999999999998,size
K_p=5,5,33,0.100232,0.24548370496763436,122.99889588356018,0.15255426466464997,2.135771073388529,32521.564044222905,input_count=0.0332;output_count=0.0940;vsize=0.4886;total_input_value=0.0437;fee=0.0216;fee_rate_sat_per_vbyte=0.0181;avg_output_value=0.0611;input_output_ratio=0.0264;size=0.1727;fee_rate_sat_per_byte=0.0154;has_op_return=0.0118;rbf_enabled=0.0134,0.3636363636363636,vsize
K_p=20,20,31,0.091001,0.1597013770395391,161.43991231918335,0.21571948528289794,1.9544879026777715,38594.35726797176,input_count=0.0154;output_count=0.0216;vsize=0.4886;total_input_value=0.0264;fee=0.0611;fee_rate_sat_per_vbyte=0.0437;avg_output_value=0.0181;input_output_ratio=0.0332;size=0.1727;fee_rate_sat_per_byte=0.0940;has_op_return=0.0118;rbf_enabled=0.0134,0.8787878787878787,vsize
K_p=50,50,31,0.089549,0.15898596650067903,232.48162412643433,0.1728450894355774,1.7810180675475338,41125.7794515794,input_count=0.0154;output_count=0.0216;vsize=0.0611;total_input_value=0.0264;fee=0.0437;fee_rate_sat_per_vbyte=0.1727;avg_output_value=0.0181;input_output_ratio=0.0332;size=0.0940;fee_rate_sat_per_byte=0.4886;has_op_return=0.0118;rbf_enabled=0.0134,0.7575757575757575,fee_rate_sat_per_byte
