target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,ap_lift_gt1
L2:P2PKH,ZSH,25190,0.04594653458821276,0.4278553703943504,9.314896159920554,21.74938774408154,21.145558060328295,1.7469139739374726,0.9713372580964099,2.0,0.013320796424579742,8.851919830278389,9.720986480167591,21.070892809281723,22.445571561023026,20.485283859660225,21.829289972443576,1.729794500718364,1.7831683197131334,,,,,,,,,,,,,,,,,,True
L2:P2PKH,K-means++ (K*),25190,0.045946534588212753,0.10860887876715646,2.3631974737844006,4.039563906746522,3.3993823194601296,1.4109796624011757,0.1562359476525613,7.5,0.07842334952112742,2.2121179537774527,2.511650371988474,3.6641830853343573,4.36677487624685,3.1559016112402465,3.6883403295122865,1.1895560063807187,1.7004025995570098,-6.951698686136154,-7.3237831142985215,-6.5625027022864515,0.001998001998001998,-17.70982383733502,-18.521205360046746,-17.00757511916013,0.001998001998001998,-17.746175740868164,-18.465498116042625,-17.07596756990687,0.001998001998001998,-0.33593431153629694,-0.5819315216106966,-0.03780852741000207,0.00999000999000999,0.017982017982017984,True
L2:P2PKH,rank-power K-means (K*),25190,0.04594653458821277,0.42737617658844274,9.304163500101001,21.74946309293901,21.149718369712993,1.7227118686205227,0.9715307953499739,2.0,0.013296285886617073,8.853447424023644,9.719007399181974,21.070961156007645,22.445606172976575,20.497767884763803,21.84349805808913,1.7046961919830665,1.7535975033990168,-0.010732659819552737,-0.04226815929578845,0.0548195658547768,0.8471528471528471,7.534885746807163e-05,7.480687959127156e-06,0.00019334598265379198,0.011988011988011988,0.004160309384698024,-0.001653189382182063,0.014364790729744479,0.3176823176823177,-0.024202105316949885,-0.03889157479212486,-0.019874963862655765,0.003996003996003996,1.0,True
L2:P2PKH,uniform + refinement,25190,0.04594653458821274,0.1696538551417806,3.6932284579077503,8.953169627453189,4.43847036310783,1.8428510285427737,0.20384194336776737,4.0,0.060853398130667015,3.4427696341154252,3.9380200803143257,6.3653476977582795,9.53793467072144,4.165860329482815,4.6711918397994525,1.8024542548561422,1.9031559140372982,-5.621667702012804,-5.944415765277411,-5.239877771583328,0.001998001998001998,-12.796218116628353,-15.426474530726912,-12.024487560227573,0.001998001998001998,-16.707087697220466,-17.431970744589194,-16.04884907450985,0.001998001998001998,0.09593705460530111,0.028281488059259317,0.1602561797131717,0.007992007992007992,0.017982017982017984,True
L2:P2SH,ZSH,16956,0.03158440318087923,0.10784480508163091,3.4122162256091384,8.394564135083744,5.036622213014866,1.394230474391342,0.1591597900556075,5.5,0.05054451199393885,3.216569418726815,3.6219679852256217,7.625590255124824,9.081183513610371,4.376139723268019,5.360843398892161,1.3775899130550386,2.2002724008466767,,,,,,,,,,,,,,,,,,True
L2:P2SH,K-means++ (K*),16956,0.031584403180879246,0.07150895732399723,2.263157070330699,4.291080819385318,3.187017703766924,1.7203997494390388,0.1008369215044464,8.5,0.08774418189560675,2.153560257812655,2.3542427387622493,3.8550226916900265,4.5479458382871645,2.947183972808783,3.458194067391434,1.678703815116986,1.7837247512817016,-1.1490591552784393,-1.3787809305877445,-0.9631008928158846,0.001998001998001998,-4.103483315698426,-4.969048123600086,-3.3090645537919667,0.001998001998001998,-1.8496045092479418,-2.2145868386155785,-1.1659101574744701,0.001998001998001998,0.32616927504769677,-0.1287281709376876,0.39070680392477436,0.055944055944055944,0.017982017982017984,True
L2:P2SH,rank-power K-means (K*),16956,0.03158440318087925,0.11151223109609121,3.5285513396278434,8.768986316428983,4.930295898911716,1.4277807399464317,0.15565703364353778,6.0,0.05688034834426442,3.329214237546236,3.7497201240055262,8.148419658719966,9.443366063518278,4.643883735782186,5.67288615664976,1.408643166411404,1.4488906814741422,0.116335114018705,0.07936915101360038,0.1593622832368537,0.001998001998001998,0.3744221813452384,0.28898155389354746,0.6732967822622111,0.001998001998001998,-0.10632631410314985,-0.19751622069328187,0.6856295084977151,0.3276723276723277,0.033550265555089664,-0.7630756983552079,0.03912059251713479,0.10789210789210789,0.017982017982017984,True
L2:P2SH,uniform + refinement,16956,0.031584403180879246,0.07566822422811795,2.3955879977566488,4.009446626618309,2.9602844613668298,1.8793498468218364,0.09347168358915213,7.5,0.1099012944133394,2.2824600705509375,2.517966842163088,3.777050094639472,4.720084904086149,2.7880229243725285,3.1887649349970593,1.7980713300926,1.9205933929871422,-1.0166282278524896,-1.2388043263158395,-0.8288547089431431,0.001998001998001998,-4.385117508465435,-5.052429699349819,-3.2710087956769027,0.001998001998001998,-2.076337751648036,-2.387389450502656,-1.4356505146950698,0.001998001998001998,0.4851193724304943,-0.30915652050774217,0.5303521066770973,0.055944055944055944,0.017982017982017984,True
L2:P2WPKH,ZSH,275948,0.6245730854726301,0.8229902904871625,1.3176839262415392,1.3604187711261742,1.3604187711261742,1.3604187711261742,0.849680999941408,3.5,0.4941300845468707,1.3087224928827026,1.3265421587323902,1.3501361100739673,1.3706252758506798,1.3501361100739673,1.3706252758506798,1.3501361100739673,1.3706252758506798,,,,,,,,,,,,,,,,,,True
L2:P2WPKH,K-means++ (K*),275948,0.6245730854726304,0.7761748794418288,1.242730037761152,1.2697154911145991,1.2697154911145991,1.2697154911145991,0.7930288377840193,3.0,0.5763768013420777,1.2354318080670785,1.2493801952125483,1.2611451467803185,1.2774888822970212,1.2611451467803185,1.2774888822970212,1.2611451467803185,1.2774888822970212,-0.07495388848038709,-0.08149562124990128,-0.06801259414175428,0.001998001998001998,-0.09070328001157502,-0.09808897078364069,-0.08265293948262105,0.001998001998001998,-0.09070328001157502,-0.09808897078364069,-0.08265293948262105,0.001998001998001998,-0.09070328001157502,-0.09808897078364069,-0.08265293948262105,0.001998001998001998,0.017982017982017984,True
