variant,target,k,top_feature,weights
reference (unsupervised),,31,size,input_count=0.0154;output_count=0.0332;vsize=0.1727;total_input_value=0.0216;fee=0.0940;fee_rate_sat_per_vbyte=0.0437;avg_output_value=0.0181;input_output_ratio=0.0264;size=0.4886;fee_rate_sat_per_byte=0.0611;has_op_return=0.0118;rbf_enabled=0.0134
oracle rank-power: L2:P2PKH,L2:P2PKH,31,vsize,input_count=0.0134;output_count=0.0154;vsize=0.4886;total_input_value=0.0216;fee=0.0437;fee_rate_sat_per_vbyte=0.0611;avg_output_value=0.0332;input_output_ratio=0.0264;size=0.0940;fee_rate_sat_per_byte=0.1727;has_op_return=0.0118;rbf_enabled=0.0181
oracle MI-direct: L2:P2PKH,L2:P2PKH,31,vsize,input_count=0.0071;output_count=0.0087;vsize=0.2692;total_input_value=0.0553;fee=0.1088;fee_rate_sat_per_vbyte=0.1196;avg_output_value=0.0649;input_output_ratio=0.0608;size=0.1327;fee_rate_sat_per_byte=0.1392;has_op_return=0.0021;rbf_enabled=0.0315
oracle rank-power: L2:P2SH,L2:P2SH,31,size,input_count=0.0134;output_count=0.0181;vsize=0.1727;total_input_value=0.0216;fee=0.0437;fee_rate_sat_per_vbyte=0.0611;avg_output_value=0.0332;input_output_ratio=0.0264;size=0.4886;fee_rate_sat_per_byte=0.0940;has_op_return=0.0118;rbf_enabled=0.0154
oracle MI-direct: L2:P2SH,L2:P2SH,31,size,input_count=0.0056;output_count=0.0172;vsize=0.2341;total_input_value=0.0615;fee=0.0819;fee_rate_sat_per_vbyte=0.0993;avg_output_value=0.0684;input_output_ratio=0.0652;size=0.2430;fee_rate_sat_per_byte=0.1167;has_op_return=0.0001;rbf_enabled=0.0070
oracle rank-power: L2:P2WSH,L2:P2WSH,32,size,input_count=0.0134;output_count=0.0154;vsize=0.1727;total_input_value=0.0332;fee=0.0264;fee_rate_sat_per_vbyte=0.0940;avg_output_value=0.0437;input_output_ratio=0.0216;size=0.4886;fee_rate_sat_per_byte=0.0611;has_op_return=0.0118;rbf_enabled=0.0181
oracle MI-direct: L2:P2WSH,L2:P2WSH,31,size,input_count=0.0051;output_count=0.0152;vsize=0.1793;total_input_value=0.0811;fee=0.0801;fee_rate_sat_per_vbyte=0.1146;avg_output_value=0.0933;input_output_ratio=0.0799;size=0.2195;fee_rate_sat_per_byte=0.0935;has_op_return=0.0013;rbf_enabled=0.0369
oracle rank-power: L4:exchange,L4:exchange,31,vsize,input_count=0.0154;output_count=0.0134;vsize=0.4886;total_input_value=0.1727;fee=0.0437;fee_rate_sat_per_vbyte=0.0332;avg_output_value=0.0611;input_output_ratio=0.0264;size=0.0940;fee_rate_sat_per_byte=0.0216;has_op_return=0.0118;rbf_enabled=0.0181
oracle MI-direct: L4:exchange,L4:exchange,30,vsize,input_count=0.0435;output_count=0.0370;vsize=0.1400;total_input_value=0.1351;fee=0.1044;fee_rate_sat_per_vbyte=0.0825;avg_output_value=0.1228;input_output_ratio=0.0814;size=0.1261;fee_rate_sat_per_byte=0.0703;has_op_return=0.0015;rbf_enabled=0.0555
