Method,K,Noise share,Fit (s),Assign TEST (s),Silhouette,Davies-Bouldin,Calinski-Harabasz,CH (dedup.),Silhouette (own space),Max share (TEST),Median AP lift,Targets,ZSH higher (Holm),ZSH lower (Holm)
ZSH,31,,20.609209775924683,1.9100816249847408,0.206600022315979,1.9175954610608168,36720.25380929832,27329.520512762883,0.3021372616291046,0.1531586013704619,7.314857414902997,11.0,,
KMeans++,31,,6.841536283493042,1.9300541877746584,0.2852368116378784,1.185648102318502,54140.96415104029,40650.85191258391,0.2856395363807678,0.187155498291759,6.667305390983815,11.0,8.0,3.0
MiniBatchKMeans,31,,5.944389820098877,1.975679874420166,0.2690976500511169,1.2401179268002425,51143.437065122176,37968.80386346465,0.2691225647926331,0.1774527670408159,4.688686552685679,11.0,8.0,3.0
GMM (diag),31,,22.13102507591248,3.0421061515808105,0.1555997639894485,2.6422299046453968,17804.98410585936,12671.169622266583,0.1564067959785461,0.3909225275001644,4.042316894335224,11.0,7.0,4.0
BIRCH,31,,26.918099880218502,226.5722064971924,0.1824456989765167,1.312344250017209,20419.011994536555,19485.586479368827,0.1822967797517776,0.6289758679527806,2.329269834642348,11.0,9.0,2.0
Ward (sample + NC),31,,27.8373863697052,1.9058036804199217,0.2663693726062774,1.2216770889242874,52041.80479642726,38593.17964423667,0.2668264687061309,0.2092252750016444,5.564289000193657,11.0,9.0,2.0
VKV-partial (k=5),5,,16.35574698448181,0.4784791469573974,0.1808998465538024,2.004556734848057,10217.090134729176,8862.900837537081,0.7643958076372215,0.5485631817003478,1.7884700495567132,11.0,10.0,1.0
VKV-partial (k=31),31,,180.13936614990234,1.0205416679382324,0.0445557557046413,4.679342839726077,5720.956578027319,5011.814269611079,0.4751829923576464,0.3955252986036146,2.4857731465618,11.0,9.0,1.0
HDBSCAN (own sample),70,0.44048,24.09548044204712,,0.2746929824352264,0.8894838072703256,3334.274679317646,2436.300503968921,,,,,,
