arm,Arm,k,max_share_dev,max_share_test,common_silhouette,common_dbi,common_chi,own_silhouette,Median AP lift,fit_seconds
A1,ZSH (rank-power + refinement),31,0.0871068027309844,0.1557869322468688,0.2113646000623703,1.7375733453693345,39506.30337841721,0.3058143258094787,7.272260666511544,47.56516861915589
A2,uniform + refinement,30,0.0960517829953546,0.1992524753049877,0.2676112830638885,1.1709240968677663,53804.23136964531,0.2684932053089142,7.013797539471423,30.573522329330444
A3,"rank-power, no refinement",31,0.1207310183972922,0.175351030941796,0.2277425587177276,1.772772965914578,39332.91962141371,0.3278815984725952,7.272951122829776,46.26386475563049
A4,"uniform, no refinement",31,0.0960360235857748,0.2036474716873087,0.2633977651596069,1.174771029389435,53150.83468680516,0.2628765702247619,7.08671407674334,30.48778510093689
A5,"uniform, no refinement (K_u)",30,0.0960517829953546,0.1992524753049877,0.2685972809791564,1.1709240968677663,53804.23136964531,0.2681644380092621,7.013797539471423,30.23672103881836
A6,MI-direct + refinement,30,0.0994915772017107,0.2005997221932034,0.2579772531986236,1.338175489150358,50923.11787769745,0.3065669775009155,6.99152225898157,49.0562801361084
A7,Laplacian rank-power + refinement,31,0.0963863673833561,0.3881715437623088,0.2231866687536239,1.5904516476615922,40316.304944543605,0.351332014799118,4.553941436563475,30.9527645111084
A9,K-means++ (K*),31,0.0995191561684753,0.2035925293960604,0.2787165880203247,1.1716579789156605,54062.08871069003,0.2784345388412476,5.5975442077736925,96.94313168525696
