Features,Method,K,AP lift,95% CI,Enrichment @10%,Enrichment @25%,Enrichment @25% CI,Precision @25%,Clusters @25%,Diff. vs ZSH (AP lift),Diff. CI,p (Holm)
AF-165,ZSH,52.0,1.572369034563711,1.26–1.84,1.6088397817559654,1.6088397817559654,1.25–1.88,0.1045215047175591,3.0,,,
AF-165,K-means++ (K),52.0,1.1183906790542948,1.09–1.15,1.1184523185535362,1.1184523185535362,1.09–1.15,0.0726624991597768,1.0,-0.4539783555094159,-0.72 to -0.14,0.0079920079920079
AF-165,rank-power K-means (K),52.0,1.3226945176449114,1.14–1.47,1.3314065718199242,1.3314065718199242,1.12–1.48,0.0864974995369512,1.0,-0.2496745169187992,-0.40 to -0.11,0.0079920079920079
AF-165,uniform + refinement,45.0,1.3545448543859615,1.13–1.69,1.3713225867640402,1.3713225867640402,1.11–1.74,0.0890907235432186,2.0,-0.2178241801777491,-0.34 to -0.04,0.0059940059940059
LF-93,ZSH,52.0,1.5439605203147722,1.23–1.82,1.56149695735852,1.56149695735852,1.19–1.86,0.1014457831325301,4.0,,,
LF-93,K-means++ (K),52.0,1.117640771854742,1.09–1.14,1.1177010239216068,1.1177010239216068,1.09–1.14,0.0726136897964667,1.0,-0.4263197484600303,-0.69 to -0.12,0.0119880119880119
AF-165,Random forest (supervised reference),,12.02300482301564,"precision 0.909, recall 0.720, F1 0.804",,,,,,,,
