Period,Method,Rows,Refit K,ARI transfer vs refit,AMI,VI (bits),Mean best Jaccard,Profiles with Jaccard ≥ 0.75,Profiles with Jaccard < 0.5
TEST,ZSH,2584530,36,0.20898674186553218,0.4366278719336234,4.909037615171392,0.17794756091446,0,31
TEST,KMeans++ K*,2584530,31,0.3932578282122388,0.5862022300752988,3.4149391029211866,0.3075230945948528,0,27
FUTURE,ZSH,456292,37,0.1124193518379957,0.33969580070879657,4.864160969097047,0.13670524751845808,0,31
FUTURE,KMeans++ K*,456292,31,0.2790818117895328,0.4084032743733365,3.385994140866076,0.15129452074639602,0,31
