method,k,fit_rows,fit_seconds,ref_clusters_used,test_predict_seconds,test_clusters_used,test_max_share,test_top3_share,future_predict_seconds,future_clusters_used,future_max_share,future_top3_share
ZSH,31,3299616,,31,1.1691136360168457,31,0.15578693224686888,0.37244295868107546,0.20606374740600586,31,0.4496672611038871,0.7471567216765134
K-means++ (K*),31,3299616,,31,1.1834042072296143,31,0.2035925293960604,0.4673422246984945,0.20473599433898926,31,0.5497666241543958,0.7841345612335893
MiniBatchKMeans,31,3299616,13.047512769699097,31,1.076784372329712,31,0.1518307003594464,0.42543247708480847,0.19005370140075684,31,0.5624204564625761,0.7662222399178853
GMM (diag),31,3299616,98.1387689113617,31,1.8180983066558838,31,0.39159808553199227,0.5541015194251953,0.34236574172973633,29,0.3962292932369663,0.6363154259742069
BIRCH,31,1000000,138.24261140823364,31,310.5808129310608,31,0.45711483325788443,0.846482726066248,54.7221245765686,31,0.845313742710229,0.9239663641608105
Ward (sample + NC),31,3299616,18.18540859222412,31,1.170236349105835,31,0.2354555760621854,0.47131315945258906,0.20576095581054688,31,0.5451255241444907,0.7782633570496844
VKV-partial (K*),31,1000000,754.9210186004639,29,0.6225965023040771,31,0.3967011410198373,0.8661067969804955,0.11122274398803711,27,0.5482952098589967,0.9723153661464724
