method,replicates,ari_mean,ari_sd,ari_min,ami_mean,vi_mean,fit_seconds_mean
BIRCH,10,0.29454931038392884,0.03911852969933729,0.2370163988977994,0.47596646881276855,2.8459813515347347,126.25228917598724
GMM (diag),10,0.7567036133741835,0.10245890808965223,0.4935075085060526,0.7940631039639943,1.7708330838358688,59.22813820838928
K-means++ (K*),10,0.7563440774747586,0.05304332302477725,0.6851530269805507,0.846418139898686,1.3738890778867416,17.06486883163452
MiniBatchKMeans,10,0.6735339848964873,0.026524408577826147,0.6358978067004777,0.7940052689201735,1.850860551880153,4.678016018867493
VKV-partial (K*),10,0.6621234850260792,0.3173770659825179,0.07561762647008105,0.6671796555173594,1.273160522742263,712.7823248624802
Ward (sample + NC),10,0.6826772921831971,0.02602029775374933,0.6492560301616745,0.7975392205735805,1.812197569698014,17.175169396400452
ZSH,10,0.7773662908042189,0.060235749651794415,0.6736546473717119,0.8610705949754778,1.2462657860133726,15.198208832740784
