replicate,method,fit_seconds,fit_rows,k,ari,ami,vi_bits
0,ZSH,15.691977739334106,1000000,31,0.6736546473717119,0.8244953432192015,1.5708713842880386
0,K-means++ (K*),17.70060658454895,1000000,31,0.7780231468963338,0.8522111751522154,1.3146259769879831
0,MiniBatchKMeans,4.584442377090454,1000000,31,0.6931983824318487,0.8082628109505465,1.7246019344263985
0,GMM (diag),59.35263657569885,1000000,31,0.7904808508858651,0.7731316261865576,1.9377926839061939
0,BIRCH,132.19878578186035,1000000,31,0.2830539135953251,0.4530849516609314,2.8814113002735455
0,Ward (sample + NC),17.585023164749146,1000000,31,0.6586105863252554,0.7764397280335711,1.9945347929648658
0,VKV-partial (K*),469.4576630592346,1000000,31,0.09659818379878628,0.20983526652295506,2.6463847955559747
1,ZSH,14.731501579284668,1000000,31,0.7546574874904344,0.8624403061227388,1.2287829307622635
1,K-means++ (K*),16.69124460220337,1000000,31,0.6851530269805507,0.818433949755622,1.6159856256765515
1,MiniBatchKMeans,3.999427080154419,1000000,31,0.6588815349411338,0.7808288323365075,1.9624576722349287
1,GMM (diag),95.54223036766052,1000000,31,0.77282792466604,0.7782875762752602,1.8868749444382287
1,BIRCH,129.23725152015686,1000000,31,0.3724365826082435,0.4922760075031479,2.6780236698570365
1,Ward (sample + NC),17.689565896987915,1000000,31,0.658961043122309,0.7912477182997271,1.8622089266935213
1,VKV-partial (K*),649.9290962219238,1000000,31,0.7786957518106002,0.7439256867078633,1.075002386758561
2,ZSH,14.201678991317749,1000000,31,0.7607163771205652,0.8614687072093613,1.2435338372963192
2,K-means++ (K*),16.87553119659424,1000000,31,0.7444268763453974,0.8501936556876087,1.3442029210087656
2,MiniBatchKMeans,4.132357358932495,1000000,31,0.6962832922082378,0.7972375443559154,1.8122206903368479
2,GMM (diag),60.63343691825867,1000000,31,0.8126651365944801,0.8057842137750604,1.6660359812637058
2,BIRCH,121.64005732536316,1000000,31,0.3180806203907259,0.5095435099099779,2.582335920078571
2,Ward (sample + NC),17.266284465789795,1000000,31,0.7006960002183149,0.8076660723008162,1.719025679217341
2,VKV-partial (K*),851.4503071308136,1000000,31,0.8378911866230023,0.802523148195147,0.806549200752745
3,ZSH,15.619645595550537,1000000,31,0.8496343645340015,0.8885307323278059,1.0014875778548367
3,K-means++ (K*),16.523342609405518,1000000,31,0.8250495757199613,0.8704444603817416,1.1527546937923328
3,MiniBatchKMeans,5.090391635894775,1000000,31,0.6575053278430717,0.7777365544275142,1.9962803543872156
3,GMM (diag),63.831913471221924,1000000,31,0.7713716478626698,0.7823291622436903,1.852161021222397
3,BIRCH,123.2538571357727,1000000,31,0.27011050158009103,0.48772292868734585,2.9027424288014165
3,Ward (sample + NC),17.456916570663452,1000000,31,0.649822681691222,0.7836410260114739,1.9526734299384925
3,VKV-partial (K*),840.2659685611725,1000000,31,0.744400240987757,0.7373921234774893,1.0544042901982316
4,ZSH,14.83515453338623,1000000,30,0.7788325742147993,0.8544173625486498,1.301710001572107
4,K-means++ (K*),17.82097291946411,1000000,31,0.8030008004019469,0.8617977739101826,1.236038864173603
4,MiniBatchKMeans,4.892786979675293,1000000,31,0.7105849190075735,0.8132737801356599,1.678480694211476
4,GMM (diag),45.34802985191345,1000000,31,0.4935075085060526,0.7115327510534684,2.4951528731777586
4,BIRCH,128.52968406677246,1000000,31,0.3281482507966049,0.4846966722917792,2.6489348417327934
4,Ward (sample + NC),16.752541303634644,1000000,31,0.6935091102425355,0.809060660723372,1.6976217196988206
4,VKV-partial (K*),850.208634853363,1000000,31,0.8151826399914526,0.7692276114956001,0.9818768975921917
5,ZSH,14.623231649398804,1000000,31,0.7542261746963675,0.8544335477571124,1.3036867480957506
5,K-means++ (K*),16.175037622451782,1000000,31,0.6922565794569716,0.8096644955255978,1.7094412620178705
5,MiniBatchKMeans,5.447644472122192,1000000,31,0.6926116847507833,0.7991572145479562,1.8128094628002616
5,GMM (diag),50.6253297328949,1000000,31,0.694573107543293,0.7946916702625934,1.8017658308783213
5,BIRCH,132.3078203201294,1000000,31,0.3071604047109322,0.48418921501089324,2.7932454082534885
5,Ward (sample + NC),16.80671191215515,1000000,31,0.7156261390792952,0.8184132557753793,1.637296651464042
5,VKV-partial (K*),766.6419250965118,1000000,31,0.9735173655562315,0.9317030699032186,0.290734698090147
6,ZSH,15.68001389503479,1000000,31,0.8470887185669621,0.8836780266232779,1.0400156814928476
6,K-means++ (K*),17.125385761260986,1000000,31,0.8166140213054389,0.8778350876493426,1.0857184290840476
6,MiniBatchKMeans,4.831376791000366,1000000,31,0.6401903632218834,0.79682142960985,1.8320042777717334
6,GMM (diag),55.479100704193115,1000000,31,0.8040046892359226,0.8040213120129516,1.6777260856516183
6,BIRCH,125.5888032913208,1000000,31,0.25851525357743016,0.4622037146632935,3.071152084685277
6,Ward (sample + NC),17.031962871551514,1000000,31,0.7041024200199296,0.8012446689315824,1.7719049848792452
6,VKV-partial (K*),669.493604183197,1000000,31,0.6858384465506612,0.7037647792801995,1.173545781845296
7,ZSH,16.263779401779175,1000000,31,0.7093005883005927,0.8211018457994068,1.6039968739417132
7,K-means++ (K*),16.702568769454956,1000000,31,0.7910658668926096,0.8680158098292599,1.1875349714593904
7,MiniBatchKMeans,4.682211399078369,1000000,31,0.6565703843786762,0.7888931598213268,1.8923503093257967
7,GMM (diag),58.91229772567749,1000000,31,0.8412122214125817,0.8357560773225258,1.4115402391653185
7,BIRCH,122.19628834724426,1000000,31,0.2720307514788777,0.4625147891785519,2.951858332700133
7,Ward (sample + NC),16.611862182617188,1000000,31,0.7102061747229087,0.810625954121866,1.7005387588130794
7,VKV-partial (K*),635.7066030502319,1000000,31,0.9265498397480662,0.8984046128122665,0.43126731417863345
8,ZSH,14.910899639129639,1000000,32,0.7933857849094019,0.8692064352939046,1.1840585009821407
8,K-means++ (K*),17.741234302520752,1000000,31,0.7039023013671403,0.8185613949637484,1.631778567866563
8,MiniBatchKMeans,4.572582244873047,1000000,31,0.6358978067004777,0.7793613615302399,2.002045105350266
8,GMM (diag),44.839030027389526,1000000,31,0.7454589012861969,0.8356648350643967,1.428438057647826
8,BIRCH,125.79390978813171,1000000,31,0.29894042620325817,0.46391184493254567,2.9363877196238986
8,Ward (sample + NC),17.295735120773315,1000000,31,0.6859827362485263,0.7874715784377071,1.9012402633212353
8,VKV-partial (K*),661.2437889575958,1000000,31,0.6869435687241536,0.6829512176700356,1.287518636349735
9,ZSH,15.424205303192139,1000000,31,0.8521661908373523,0.8909336428533192,0.9845143238477092
9,K-means++ (K*),17.29276394844055,1000000,31,0.7239485793812356,0.8370235961315403,1.4608094668003082
9,MiniBatchKMeans,4.546939849853516,1000000,31,0.6936161534811877,0.7984800014862191,1.7953550179566076
9,GMM (diag),57.717376708984375,1000000,31,0.8409341457487326,0.8194318154434388,1.5508431210073197
9,BIRCH,121.77643418312073,1000000,31,0.2370163988977994,0.45952105428921936,3.013721809341185
9,Ward (sample + NC),17.255090475082397,1000000,31,0.6492560301616745,0.7895815431003097,1.8849304899894956
9,VKV-partial (K*),733.4256575107574,1000000,31,0.07561762647008105,0.19206903910881862,2.984321226101116
