period,method,refit_seconds,refit_rows,refit_k,ari,ami,vi_bits,profiles,median_matched_jaccard,max_matched_jaccard,n_matched_ge_0.5,n_matched_ge_0.75,share_matched_ge_0.5,median_best_jaccard,n_best_ge_0.5
test,ZSH,45.47433876991272,2584530,37,0.17639271627793643,0.4151679211323102,5.108789706589433,31,0.05436189490033653,0.3480783123298867,0,0,0.0,0.15366800354313273,0
test,K-means++ (K*),78.01581883430481,2584530,31,0.43511502035005695,0.5966716400094408,3.2731561543760304,31,0.28302084070102496,0.7510886605121059,4,1,0.4117847345552189,0.2887827250143321,4
test,MiniBatchKMeans,13.924489736557007,2584530,31,0.33126675595541816,0.5725624951684499,3.6276675185820975,31,0.21789680031983905,0.6513816730667872,4,0,0.06560225650311662,0.2927940963681088,4
test,GMM (diag),447.6358723640442,2584530,31,0.3309118154578549,0.5902562605601949,3.247268243871312,31,0.1676320113743634,0.6177065280184865,5,0,0.12840245615256932,0.19116707296868712,5
test,BIRCH,345.60779213905334,1000000,31,0.34251246398400625,0.3606495619468454,3.086004689609624,31,0.044535799931483384,0.6236494442423757,4,0,0.4613376513331244,0.15299291789283057,4
test,Ward (sample + NC),17.373850107192993,2584530,31,0.4687692232132645,0.5741507385277176,3.3425852357141923,31,0.15907840860477906,0.7887737320003668,3,1,0.24076176326063153,0.2402576348420453,3
test,VKV-partial (K*),744.1176879405975,1000000,31,0.6844460593180387,0.7331120808171577,1.271690268988138,31,0.4782608695652174,0.9310344827586207,14,5,0.8960449288652096,0.4782608695652174,14
future,ZSH,12.620773315429688,456292,38,0.09645260227906975,0.3030553731542678,5.121057667025306,31,0.019367310212674245,0.321193721232981,0,0,0.0,0.0950126202368991,0
future,K-means++ (K*),6.684378385543823,456292,31,0.22385935243699978,0.37614934536839223,3.532609145448534,31,0.020219303453508485,0.443375278800017,0,0,0.0,0.1406344899446468,0
future,MiniBatchKMeans,3.616835832595825,456292,31,0.15497515963278918,0.4298214458517479,4.011692031287527,31,0.024105185782113275,0.6435107371814834,5,0,0.14211070997101058,0.13384992934824955,5
future,GMM (diag),61.303770542144775,456292,31,0.3639708026408762,0.5996503472099103,2.9789514727448103,31,0.09767295996346524,0.6551002631419912,1,0,0.07971145845190848,0.15656263665225692,1
future,BIRCH,81.32826781272888,456292,31,0.26639136543337494,0.22344629082819445,2.1461663841432594,31,0.0030488059366159644,0.7579581306858648,2,1,0.8466694594807845,0.07129893808270357,2
future,Ward (sample + NC),16.655668258666992,456292,31,0.2693970081015937,0.40548376692880844,3.4677317658984124,31,0.026240769297905454,0.3842184958750541,0,0,0.0,0.1061306899724451,0
future,VKV-partial (K*),195.7556347846985,456292,31,0.6574791836558885,0.7134275545059305,0.9628521747486677,30,0.5247540259505652,1.0,16,9,0.9764368678917184,0.5247540259505652,16
