target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,max_lift,attained
L3:runes,"ZSH (frozen, 12 features)",137087,0.3919723086617889,0.5301598217205679,1.3525617195697026,1.3946868770991523,1.3946868770991523,1.3946868770991523,0.5466697324159708,1.0,0.4496742942291835,1.3376689515689866,1.3658691684134259,1.3766948226421967,1.4106097476830288,1.3766948226421967,1.4106097476830288,1.3766948226421967,1.4106097476830288,,,,,,,,,,,,,,,,,,2.5512006279577375,0.5301598217205679
L3:runes,ZSH refit (12 features),137087,0.3919723086617888,0.896731426030515,2.2877869689406563,2.5279379871066987,2.523425576168073,2.4991306912338933,0.9890954002448585,1.5,0.12261975586358136,2.2490243428513907,2.325510962498516,2.480596374159209,2.5763807697414483,2.4747098675450396,2.571533836378371,2.455717778248946,2.5455693660104686,0.9352252493709536,0.9008547496575214,0.9695095743168517,0.001998001998001998,1.1332511100075464,1.0895775163393457,1.1776673132615887,0.001998001998001998,1.1287386990689205,1.0830057067131882,1.1737275770962374,0.001998001998001998,1.104443814134741,1.0622445149420332,1.1480778325126746,0.001998001998001998,0.001998001998001998,2.5512006279577384,0.896731426030515
L3:runes,ZSH refit (12 + address features),137087,0.39197230866178867,0.9188077280936511,2.3441347812333713,2.5337416948273424,2.5223808479778205,2.5195588302218477,0.9886779920563817,2.0,0.17039103299102476,2.303454389734888,2.383851983723159,2.4816586716839195,2.5808198738827115,2.476695189981526,2.5704519909419785,2.475985124841691,2.5666812800054224,0.9915730616636687,0.9534225967746556,1.0283906820297977,0.001998001998001998,1.13905481772819,1.0908698065423281,1.1825558330658534,0.001998001998001998,1.1276939708786682,1.0844190796280204,1.173418196722499,0.001998001998001998,1.1248719531226954,1.0836821278031674,1.1705005922224516,0.001998001998001998,0.001998001998001998,2.5512006279577393,0.9188077280936511
L3:runes,supervised (12 features),137087,0.3919723086617889,0.9942058186998716,2.5364966574235375,2.5496783726741974,2.5496783726741974,2.5496783726741974,0.999375469981841,1.0,0.37887836395144675,2.493317417256372,2.5853545995470926,2.5050069663911136,2.5974865167033268,2.5050069663911136,2.5974865167033268,2.5050069663911136,2.5974865167033268,1.1839349378538349,1.141962759800448,1.2298166333910263,0.001998001998001998,1.154991495575045,1.1109220119964223,1.2006355100942272,0.001998001998001998,1.154991495575045,1.1109220119964223,1.2006355100942272,0.001998001998001998,1.154991495575045,1.1109220119964223,1.2006355100942272,0.001998001998001998,0.001998001998001998,2.5512006279577375,0.9942058186998716
L3:runes,supervised (12 + address features),137087,0.3919723086617887,0.9967272509075061,2.5429115717430015,2.5496398595416236,2.5496398595416236,2.5496398595416236,0.9993619423333862,1.0,0.38710748973472686,2.4974560974883424,2.5911807409487193,2.504195739446135,2.59770626094954,2.504195739446135,2.59770626094954,2.504195739446135,2.59770626094954,1.190349852173299,1.1472873048713597,1.235651978344474,0.001998001998001998,1.1549529824424714,1.1103969252299917,1.200539482429784,0.001998001998001998,1.1549529824424714,1.1103969252299917,1.200539482429784,0.001998001998001998,1.1549529824424714,1.1103969252299917,1.200539482429784,0.001998001998001998,0.001998001998001998,2.551200627957739,0.9967272509075061
L3:other_opreturn,"ZSH (frozen, 12 features)",9245,0.01761385483912993,0.05882290977767547,3.340957152017552,8.697564059309014,2.6880884385499133,2.6880884385499133,0.04733856787040866,4.0,0.22346543912413075,2.9263640599276033,3.7844048827376366,7.05457811505896,9.891859879641267,2.550247443446639,4.7695956914298225,2.507176665615591,2.8403592792983248,,,,,,,,,,,,,,,,,,56.77348934308561,0.05882290977767547
L3:other_opreturn,ZSH refit (12 features),9245,0.017613854839129917,0.028226737087263018,1.6028384820999775,1.9606713928041772,1.8607067366343548,1.702779795281005,0.03277461280658987,4.5,0.1542859893515377,1.4515337743205474,1.714838764844906,1.5322072133298152,2.3947621482120476,1.634400264306626,2.0398621645723787,1.4810603008451533,1.839590218510325,-1.7381186699175744,-2.1618308630981935,-1.396185677889716,0.001998001998001998,-6.736892666504837,-8.080287394134444,-5.118733338127456,0.001998001998001998,-0.8273817019155585,-2.9540331176176062,-0.6539905833569709,0.001998001998001998,-0.9853086432689082,-1.244443754098815,-0.8291448644812287,0.001998001998001998,0.001998001998001998,56.77348934308566,0.028226737087263018
L3:other_opreturn,ZSH refit (12 + address features),9245,0.01761385483912991,0.04848369952137781,2.75223399626421,4.096231104247863,3.9829986684769825,2.4371222878011243,0.07017380443071691,2.0,0.09092255419320971,2.459885164346547,2.9789006214918836,3.408389104768541,4.470917932047113,3.4646570409404505,4.378068064047222,2.134723953348485,2.7862418892684113,-0.5887231557533417,-1.0548324712332668,-0.2332819039607364,0.001998001998001998,-4.601332955061151,-5.869222329359578,-2.9895507000360646,0.001998001998001998,1.2949102299270692,-0.8556792567059089,1.5839503215507664,0.3956043956043956,-0.25096615074878903,-0.49838554336139557,0.04987304398818381,0.11188811188811189,0.001998001998001998,56.77348934308568,0.04848369952137781
L3:other_opreturn,supervised (12 features),9245,0.017613854839129934,0.8197569606397677,46.53318065830598,56.63919334431432,56.63919334431432,56.63919334431432,0.9975592425957296,1.0,0.011254608111351956,43.32179866446362,50.333109488454745,53.28826714335203,60.63198899434951,53.28826714335203,60.63198899434951,53.28826714335203,60.63198899434951,43.19222350628843,40.18039036653076,46.973621870181205,0.001998001998001998,47.941629285005305,44.39390584811377,52.033804263137384,0.001998001998001998,53.95110490576441,49.86586754873795,57.45240289107912,0.001998001998001998,53.95110490576441,50.622852127745624,57.901639426846934,0.001998001998001998,0.001998001998001998,56.7734893430856,0.8197569606397677
L3:other_opreturn,supervised (12 + address features),9245,0.017613854839129924,0.8638381533765762,49.043211632387866,56.636537516651956,56.636537516651956,56.636537516651956,0.9975175378780824,1.0,0.013980398109777156,45.835359452449026,52.96803353788077,53.2831922346751,60.61125482618257,53.2831922346751,60.61125482618257,53.2831922346751,60.61125482618257,45.702254480370314,42.600970751339126,49.54274314154767,0.001998001998001998,47.93897345734294,44.35589262411438,52.05850330751889,0.001998001998001998,53.948449078102044,49.833967304313056,57.43464188885881,0.001998001998001998,53.948449078102044,50.634611573050506,57.90032509950245,0.001998001998001998,0.001998001998001998,56.77348934308563,0.8638381533765762
L4:exchange,"ZSH (frozen, 12 features)",1936,0.0033220608372278426,0.0983353441463997,29.60115528846692,44.389716024863034,44.389716024863034,34.1497751499758,0.1474623990719533,1.0,0.006899329699038314,25.663864569860046,33.549217924617196,37.44941437767784,50.054604557214816,37.1086565049944,50.054604557214816,25.013921638280117,38.68851382417085,,,,,,,,,,,,,,,,,,301.0179671587439,0.0983353441463997
L4:exchange,ZSH refit (12 features),1936,0.0033220608372278404,0.030029000296768586,9.0391910684056,12.30103041095376,12.30103041095376,8.33698075368509,0.04086562899645135,1.0,0.024649204600342138,8.065064723773085,10.058033724469508,10.524279500144848,14.001498538007594,9.736654657717823,14.001498538007594,7.540290900608112,8.891619410024457,-20.56196422006132,-24.33501008247357,-16.83411619030256,0.001998001998001998,-32.08868561390928,-38.37528901719878,-24.57376512325465,0.001998001998001998,-32.08868561390928,-38.689071408272525,-24.659227852468902,0.001998001998001998,-25.812794396290712,-30.200733841056852,-16.872311032485378,0.001998001998001998,0.001998001998001998,301.0179671587441,0.030029000296768586
L4:exchange,ZSH refit (12 + address features),1936,0.0033220608372278386,0.09351982544689894,28.151345610274134,70.49609885967851,37.33808123066875,37.33808123066875,0.12403876465962321,2.0,0.014028510646060931,24.26718704362153,33.0617284653789,36.01616537655485,88.69551979756771,33.922511392023225,40.90277166546239,25.483588005155287,40.90277166546239,-1.4498096781927856,-5.103003627163469,4.161403147331944,0.6393606393606394,26.106382834815477,-10.415615634367256,46.21442990524383,0.1958041958041958,-7.051634794194285,-11.463550965993369,-0.4817814921020164,0.03796203796203796,3.1883060806929464,-3.445635569141586,9.708239809545415,0.35364635364635366,0.6393606393606394,301.0179671587443,0.09351982544689894
L4:exchange,supervised (12 features),1936,0.0033220608372278504,0.40795087853115947,122.79858391674969,225.79565891830703,225.79565891830703,148.82495039634557,0.750106142211335,1.0,0.0022642023542639666,108.07947229238246,136.85139122894458,205.64664938414293,248.59841529778026,205.64664938414293,248.59841529778026,104.00395317002052,233.22111388014017,93.19742862828278,79.09427364361449,106.8421893676576,0.001998001998001998,181.40594289344398,161.40573602054064,204.81533204656904,0.001998001998001998,181.40594289344398,161.49697292029876,205.17349142209062,0.001998001998001998,114.67517524636978,75.4582827358095,200.5425789908576,0.005994005994005994,0.001998001998001998,301.0179671587432,0.40795087853115947
L4:exchange,supervised (12 + address features),1936,0.0033220608372278443,0.5956149716120405,179.2963955729026,243.87405949602902,243.87405949602902,243.87405949602902,0.8101623549077492,1.0,0.0029994927603857052,160.35973020549062,200.9872735278048,218.8499453993419,272.0704598880287,218.8499453993419,272.0704598880287,218.8499453993419,272.0704598880287,149.6952402844357,130.361677329791,172.44980383788325,0.001998001998001998,199.48434347116597,174.1933901790696,229.2876678247696,0.001998001998001998,199.48434347116597,174.21369217980535,229.13626521019376,0.001998001998001998,209.72428434605322,185.77097477872033,242.72142260003244,0.001998001998001998,0.001998001998001998,301.0179671587438,0.5956149716120405
