timestep,n,illicit,flagged,precision,recall,setting,method,top_clusters
45,1221,5,509,0.0,0.0,LF-93,ZSH,4
46,712,2,391,0.0,0.0,LF-93,ZSH,4
47,846,22,251,0.01195219123505976,0.13636363636363635,LF-93,ZSH,4
48,471,36,188,0.03723404255319149,0.19444444444444445,LF-93,ZSH,4
49,476,56,100,0.06,0.10714285714285714,LF-93,ZSH,4
35,1341,182,1176,0.15476190476190477,1.0,LF-93,K-means++ (K),1
36,1708,33,1607,0.020535158680771624,1.0,LF-93,K-means++ (K),1
37,498,40,461,0.08676789587852494,1.0,LF-93,K-means++ (K),1
38,756,111,699,0.15879828326180256,1.0,LF-93,K-means++ (K),1
39,1183,81,1107,0.07317073170731707,1.0,LF-93,K-means++ (K),1
40,1211,112,1090,0.1018348623853211,0.9910714285714286,LF-93,K-means++ (K),1
41,1132,116,987,0.11752786220871327,1.0,LF-93,K-means++ (K),1
42,2154,239,1948,0.12217659137577003,0.99581589958159,LF-93,K-means++ (K),1
43,1370,24,1266,0.018957345971563982,1.0,LF-93,K-means++ (K),1
44,1591,24,1436,0.016713091922005572,1.0,LF-93,K-means++ (K),1
45,1221,5,980,0.00510204081632653,1.0,LF-93,K-means++ (K),1
46,712,2,630,0.0031746031746031746,1.0,LF-93,K-means++ (K),1
47,846,22,683,0.032210834553440704,1.0,LF-93,K-means++ (K),1
48,471,36,399,0.09022556390977443,1.0,LF-93,K-means++ (K),1
49,476,56,418,0.1339712918660287,1.0,LF-93,K-means++ (K),1
