setting,method,k,base_rate,ap,ap_lift,enrich@0.10,prec@0.10,clusters@0.10,enrich@0.25,prec@0.25,clusters@0.25,enrich@0.50,prec@0.50,clusters@0.50,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,top25_clusters,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm
AF-165,ZSH,52,0.06496700659868027,0.10215210944406111,1.5723690345637107,1.6088397817559654,0.10452150471755912,3.0,1.6088397817559654,0.10452150471755912,3.0,1.6088397817559654,0.10452150471755912,3.0,1.2608221605557328,1.8434649639209397,1.2499089123000036,1.8825344467205514,1.2499089123000036,1.8825344467205514,1.2506060570628519,1.8825344467205514,3,,,,,,,,,,,,,,,,,
AF-165,K-means++ (K),52,0.06496700659868027,0.07265849462602288,1.1183906790542948,1.1184523185535362,0.07266249915977684,1.0,1.1184523185535362,0.07266249915977684,1.0,1.1184523185535362,0.07266249915977684,1.0,1.0948581002948194,1.1503149755085,1.0948975319878704,1.150315947616685,1.0948975319878704,1.150315947616685,1.0948975319878704,1.150315947616685,1,-0.4539783555094159,-0.7162796212578633,-0.14173546031123865,0.007992007992007992,-0.4903874632024292,-0.7562777990511235,-0.13271242197618385,0.015984015984015984,-0.4903874632024292,-0.7562777990511235,-0.13271242197618385,0.015984015984015984,-0.4903874632024292,-0.7562777990511235,-0.13271242197618385,0.013986013986013986,0.007992007992007992
AF-165,rank-power K-means (K),52,0.06496700659868027,0.08593150345587518,1.3226945176449114,1.3314065718199242,0.08649749953695128,1.0,1.3314065718199242,0.08649749953695128,1.0,1.3314065718199242,0.08649749953695128,1.0,1.142932720126281,1.4701612898482892,1.124065854259508,1.4794969898900774,1.124065854259508,1.4794969898900774,1.124065854259508,1.4794969898900774,1,-0.24967451691879927,-0.40439046740994683,-0.11022538295826959,0.003996003996003996,-0.27743320993604126,-0.43947853271690784,-0.11709011630893805,0.00999000999000999,-0.27743320993604126,-0.43947853271690784,-0.11709011630893805,0.00999000999000999,-0.27743320993604126,-0.43947853271690784,-0.12137167938169159,0.003996003996003996,0.007992007992007992
AF-165,uniform + refinement,45,0.06496700659868027,0.08800072449310116,1.3545448543859615,1.3713225867640402,0.08909072354321869,2.0,1.3713225867640402,0.08909072354321869,2.0,1.3713225867640402,0.08909072354321869,2.0,1.1303385656422538,1.6872588176974939,1.114283751356673,1.742255400859061,1.114283751356673,1.742255400859061,1.114283751356673,1.742255400859061,2,-0.21782418017774918,-0.34290741636445016,-0.03728213769251255,0.001998001998001998,-0.23751719499192525,-0.35450206663421086,-0.010138897653605487,0.025974025974025976,-0.23751719499192525,-0.35450206663421086,-0.010138897653605487,0.025974025974025976,-0.23751719499192525,-0.35450206663421086,-0.010306103120463058,0.02197802197802198,0.005994005994005994
LF-93,ZSH,52,0.06496700659868027,0.10030649331139162,1.5439605203147722,1.56149695735852,0.10144578313253012,4.0,1.56149695735852,0.10144578313253012,4.0,1.56149695735852,0.10144578313253012,4.0,1.2292575333120304,1.8229406339635854,1.1875268942491595,1.8553829881126662,1.1875268942491595,1.8553829881126662,1.1968666860798438,1.8553829881126662,4,,,,,,,,,,,,,,,,,
LF-93,K-means++ (K),52,0.06496700659868027,0.07260977540004113,1.1176407718547419,1.1177010239216068,0.07261368979646672,1.0,1.1177010239216068,0.07261368979646672,1.0,1.1177010239216068,0.07261368979646672,1.0,1.0939649810897403,1.144950628313285,1.093994703341219,1.1449957855008135,1.093994703341219,1.1449957855008135,1.093994703341219,1.1449957855008135,1,-0.4263197484600303,-0.6936825081190128,-0.11600114379492993,0.011988011988011988,-0.44379593343691326,-0.725471103250167,-0.0563571993583988,0.03396603396603397,-0.44379593343691326,-0.725471103250167,-0.0563571993583988,0.03396603396603397,-0.44379593343691326,-0.725471103250167,-0.08208977731856108,0.01998001998001998,0.011988011988011988
