sample,split,n,eocj,eocj_rate,ci_lo,ci_hi,coinjoin_tag,exchange_tag
e7_flagged,0,2419,273,0.1128565522943365,0.10085614640765686,0.12608460403466693,0,14
e7_flagged,1,2581,209,0.08097636574970941,0.0710641180375885,0.09213407635529564,0,4
e7_unflagged,0,2871,1,0.00034831069313827936,6.148803566030615e-05,0.0019704357990436507,0,19
e7_unflagged,1,2129,0,0.0,-1.0842021724855044e-19,0.0018010991230969866,0,11
