target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm
L1:ManyInManyOut,A3,57088,0.022088417993028693,0.4864957449798579,22.025042534014347,26.744441417617516,23.565441085136747,23.565441085136747,0.5205189626051825,3.0,0.025384263502536808,21.71108493969306,22.23823015222146,23.60021255577353,27.206107212249467,23.29268153317015,23.820880254317988,23.29268153317015,23.820880254317988,-9.385434969139368,-9.65502375474424,-9.217388556115232,0.001998001998001998,-17.972963369995156,-21.044987767425884,-17.50357917518652,0.001998001998001998,-6.76035793703047,-6.925100721407903,-6.612434925812211,0.001998001998001998,-6.76035793703047,-6.925100721407903,-6.612434925812211,0.001998001998001998,0.00999000999000999
L1:ManyInManyOut,A4,57088,0.022088417993028693,0.693805208329405,31.410477503153714,44.71740478761267,30.325799022167217,30.325799022167217,0.6698463003550107,2.0,0.028310355640418637,31.055650753474733,31.774932092252147,44.15784674408572,45.30736970506503,29.985451981595762,30.675211442477003,29.985451981595762,30.675211442477003,,,,,,,,,,,,,,,,,
L1:SingleInFanOut,A3,49001,0.018959430925848286,0.4167685118691934,21.982394041179745,30.74629729410443,22.400737684772203,22.400737684772203,0.42470400155342947,2.0,0.026343379098102023,21.71373820217954,22.24341289745118,30.220697141723015,31.27620776874433,22.12234395608257,22.675152392634484,22.12234395608257,22.675152392634484,-5.4604350495526575,-5.704557254298226,-5.29988494766737,0.001998001998001998,-15.893029374117454,-16.380879902791445,-15.383368342928629,0.001998001998001998,-24.23858898344968,-24.722529567947134,-23.758336657754967,0.001998001998001998,1.8205711936164235,0.7461628889976668,1.9300973465310307,0.001998001998001998,0.00999000999000999
L1:SingleInFanOut,A4,49001,0.018959430925848286,0.5202946522388352,27.442829090732403,46.639326668221884,46.639326668221884,20.58016649115578,0.8842406126072972,1.0,0.005696170883958695,27.122650977164525,27.792346511511987,46.062663772892876,47.21345023145878,46.062663772892876,47.21345023145878,20.416290938377514,21.549797090712005,,,,,,,,,,,,,,,,,
L1:FanIn,A3,126484,0.04893881277374746,0.6937610430548693,14.176124101574533,17.005457763496644,15.591810339157002,14.138910200844428,0.7630422459106221,5.0,0.0189484386728086,14.029771035563574,14.312355569347824,16.804971536990507,17.21470142156342,15.388678353835148,15.775846300645997,13.698452097700537,14.274091538735421,-3.196447396627903,-3.279823313361452,-3.1073565375727648,0.001998001998001998,-3.421928429487245,-3.563727950950961,-3.28383070136893,0.001998001998001998,-4.686745657554971,-4.845717577118502,-4.5377766283885,0.001998001998001998,-5.433231548892628,-5.854065805789211,-5.3157662768340606,0.001998001998001998,0.00999000999000999
L1:FanIn,A4,126484,0.04893881277374746,0.8501931238917966,17.372571498202436,20.42738619298389,20.278555996711972,19.572141749737057,0.9924077412892305,3.0,0.012994988014785682,17.206652522110694,17.536783442250666,20.227384399604333,20.621992638757273,20.084188333855728,20.470130993009928,19.378732961580166,19.753642043155242,,,,,,,,,,,,,,,,,
L1:FanOut,A3,273404,0.10578528599845397,0.7146857196603256,6.756049475924009,9.142780422759236,9.142780422759236,7.039017329744224,0.9671651916831342,3.0,0.02837591300471852,6.691617213742548,6.817711052093267,9.050956748774887,9.22351855733836,9.05448846447799,9.225794182784613,6.97537469337874,7.100062519590194,-0.006045876690358831,-0.02818977387839163,0.016509819932492075,0.5814185814185814,-0.31022023855670966,-0.32828202984079236,-0.29961793396856573,0.001998001998001998,-0.29229088467698894,-0.3063507540814624,-0.2786330795216942,0.001998001998001998,-1.9396836568958573,-1.971191527397347,-1.6407444061817131,0.001998001998001998,0.5814185814185814
L1:FanOut,A4,273404,0.10578528599845397,0.7153233178580992,6.7620953526143674,9.453000661315945,9.435071307436225,8.978700986640082,0.9980837008514232,3.0,0.02807083193192928,6.694305637136152,6.826107468140297,9.366869362363698,9.535426772717557,9.349479169599505,9.516516433522018,8.659790446651455,9.058180863718329,,,,,,,,,,,,,,,,,
L1:OneInOneOut,A3,505982,0.1957754234986831,0.8189699728491365,4.183346184105808,5.071560854786829,5.048765123741761,5.0232375170233095,0.9883810432926471,2.0,0.06579667027056338,4.1480286154508486,4.216375563089803,5.010904160242404,5.129819942782993,4.984016126666196,5.104315887048203,4.963528592918396,5.079503184385546,-0.37743912058553875,-0.3980952109621725,-0.3592200979091736,0.001998001998001998,-0.027035692338228223,-0.035389598096217646,-0.019943029011232617,0.001998001998001998,-0.05259186798170212,-0.07153897570436027,-0.045828724233961095,0.001998001998001998,0.18457749382895017,0.17145350507546603,0.20174251534980903,0.001998001998001998,0.00999000999000999
L1:OneInOneOut,A4,505982,0.1957754234986831,0.8928605557364109,4.560785304691347,5.098596547125057,5.101356991723463,4.838660023194359,0.9986799949495959,2.0,0.05573629189345787,4.51110708791014,4.60738230995509,5.039880911599759,5.161169663956544,5.042105685151874,5.160164949547195,4.7776400610813035,4.892836498321335,,,,,,,,,,,,,,,,,
