target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm
L1:ManyInManyOut,A1,57088,0.022088417993028693,0.4910252699534854,22.230126219795352,26.912633456897886,23.71242657405333,23.71242657405333,0.5237652567480291,3.0,0.025571909434951492,21.950582721705697,22.483161802851097,24.84354414897441,27.438148279345658,23.428835993642593,23.989044260785576,23.428835993642593,23.989044260785576,-9.09378809494308,-9.344880130343139,-8.897717647206303,0.001998001998001998,-17.805246114526845,-19.905052865256987,-17.275167506101926,0.001998001998001998,-6.497770335245619,-6.6770666198301205,-6.334937029774233,0.001998001998001998,-6.497770335245619,-6.6770666198301205,-6.334937029774233,0.001998001998001998,0.00999000999000999
L1:ManyInManyOut,A2,57088,0.022088417993028693,0.6918934882723329,31.32391431473843,44.71787957142473,30.21019690929895,30.21019690929895,0.6672930742767461,2.0,0.02841404854676492,30.95290187389883,31.715941348052716,44.13497238876705,45.36494829724007,29.858505575025177,30.57208868814156,29.858505575025177,30.57208868814156,,,,,,,,,,,,,,,,,
L1:SingleInFanOut,A1,49001,0.018959430925848286,0.41015348938669455,21.63347050152536,29.727149150371666,22.120230033615837,22.120230033615837,0.41938591229159716,2.0,0.02666451258680086,21.362282795083345,21.904385431593543,29.23135845866774,30.25103804395545,21.85049904313876,22.395221413080804,21.85049904313876,22.395221413080804,-5.8061057134910286,-6.003483611857704,-5.61697514443327,0.001998001998001998,-16.912626752725266,-17.432399645362068,-16.41205555913892,0.001998001998001998,-24.519545869481096,-24.980443798770654,-24.047897482366803,0.001998001998001998,1.4860336093800157,1.361437118359018,1.596340491033938,0.001998001998001998,0.00999000999000999
L1:SingleInFanOut,A2,49001,0.018959430925848286,0.5202329600701516,27.439576215016388,46.63977590309693,46.63977590309693,20.63419642423582,0.8842491939555523,1.0,0.005696559720287481,27.110666393738807,27.78377066157354,46.042643274631075,47.227289515398255,46.042643274631075,47.227289515398255,20.404891346134683,20.86667018152855,,,,,,,,,,,,,,,,,
L1:FanIn,A1,126484,0.04893881277374746,0.698249476360377,14.267838266763972,17.44457390329452,15.652836278508317,13.740464259798582,0.7660290056468384,5.0,0.019120554164815867,14.120589922010726,14.406521080682788,17.24236214123392,17.646281635323806,15.471199492309351,15.86205569943927,13.630348853575684,14.257023468369455,-3.097118165244078,-3.1916960806234616,-3.0131867482090673,0.001998001998001998,-2.98281306870998,-3.1316857304939743,-2.840002947623486,0.001998001998001998,-4.6257982747334765,-4.768777829834488,-4.464711778532105,0.001998001998001998,-5.828015114715843,-5.919341007720605,-5.329001967726453,0.001998001998001998,0.00999000999000999
L1:FanIn,A2,126484,0.04893881277374746,0.8498205428878047,17.36495643200805,20.4273869720045,20.278634553241794,19.568479374514425,0.9924115863211354,3.0,0.01300156371325905,17.198874787038157,17.532257445511405,20.22275278372175,20.63759323024183,20.07991075614346,20.476647590082067,19.371752186907642,19.765349706855503,,,,,,,,,,,,,,,,,
L1:FanOut,A1,273404,0.10578528599845397,0.7137404777696648,6.747114173968752,9.125983486527371,9.087410548191631,7.049050398216635,0.9613084193812251,3.0,0.028740762542044877,6.684790219626265,6.806435342434822,9.039079921337239,9.208359954735073,9.002579202131162,9.16818254228289,6.9852563313596745,7.1138296888055335,-0.04557343391862112,-0.06820102099769534,-0.021928575979930323,0.001998001998001998,-0.32665864851614046,-0.34233381253518214,-0.3116958543429679,0.001998001998001998,-0.3475276873509223,-0.36270771418230396,-0.33460492830339855,0.001998001998001998,-1.9324083672163086,-1.9638961645931876,-1.8968236923431252,0.001998001998001998,0.00999000999000999
L1:FanOut,A2,273404,0.10578528599845397,0.718559450247457,6.792687607887373,9.452642135043511,9.434938235542553,8.981458765432944,0.9980696295566824,3.0,0.028265863197619326,6.729229736026779,6.850695858601509,9.366411619670174,9.538293491085005,9.348466345127003,9.520255384259757,8.89805803284652,9.064077999412113,,,,,,,,,,,,,,,,,
L1:OneInOneOut,A1,505982,0.1957754234986831,0.8189522557411129,4.183253970267735,5.071508719573422,5.0488592598561715,5.02325328776066,0.9883996234449608,2.0,0.06576958469006923,4.147696605572301,4.22316832608057,5.0117614508857535,5.140735388661845,4.984842695409576,5.1120000431471535,4.965361936742459,5.09010253974122,-0.34064265764481405,-0.36277785876931673,-0.32366484104201165,0.001998001998001998,-0.01653806842418515,-0.021796313220578067,-0.01144922240484967,0.001998001998001998,0.006656370505383258,-0.01627528680887695,0.020347397298043753,0.8151848151848152,0.21466740656286287,0.19912511238638358,0.25785586872888033,0.001998001998001998,0.00999000999000999
L1:OneInOneOut,A2,505982,0.1957754234986831,0.8856398250913613,4.523896627912549,5.088046787997607,5.042202889350788,4.808585881197797,0.9871037845787616,2.0,0.05617578667619155,4.4765887562003845,4.581395735993102,5.0278796065676685,5.15770024397759,4.979659448604147,5.110667593262403,4.744603873191716,4.868939821399666,,,,,,,,,,,,,,,,,
