arm,k,max_share_dev,max_share_test,fit_seconds,common_k,common_n,common_silhouette,common_silhouette_sd,common_dbi,common_chi,common_chi_dedup,common_dedup_fraction,own_silhouette,own_dbi,own_chi
A1,31,0.08710680273098445,0.15578693224686888,47.565168619155884,31,200000,0.2113646000623703,0.0016751494351077002,1.7375733453693345,39506.30337841721,29698.37925706649,0.81095,0.30581432580947876,1.0550021255960327,127266.3210882499
A2,30,0.0960517829953546,0.19925247530498774,30.573522329330444,30,200000,0.26761128306388854,0.0029899902792540328,1.1709240968677663,53804.23136964531,40069.59646429116,0.81095,0.2684932053089142,1.1709240981386706,53804.2313804768
A3,31,0.12073101839729229,0.175351030941796,46.26386475563049,31,200000,0.22774255871772767,0.002647363154193371,1.772772965914578,39332.91962141371,29553.52901603785,0.81095,0.32788159847259524,1.0408806339639842,129816.89658178632
A4,31,0.09603602358577483,0.2036474716873087,30.48778510093689,31,200000,0.26339776515960694,0.0017084043742959826,1.174771029389435,53150.83468680516,39657.887057862914,0.81095,0.26287657022476196,1.1747710308217187,53150.83469897088
A5,30,0.0960517829953546,0.19925247530498774,30.23672103881836,30,200000,0.26859728097915647,0.0010740348575489906,1.1709240968677663,53804.23136964531,40069.59646429116,0.81095,0.2681644380092621,1.1709240981386706,53804.231380476784
A6,30,0.09949157720171074,0.2005997221932034,49.0562801361084,30,200000,0.25797725319862364,0.0011045949911726004,1.338175489150358,50923.11787769745,38121.34888549075,0.81095,0.30656697750091555,1.1259743752985238,72073.63322710393
A7,31,0.09638636738335613,0.38817154376230883,30.9527645111084,31,200000,0.22318666875362397,0.0031572977415021447,1.5904516476615922,40316.304944543605,29552.402688929964,0.81095,0.351332014799118,0.974167797929577,86117.75800084195
A9,31,0.09951915616847536,0.2035925293960604,96.94313168525696,31,200000,0.27871658802032473,0.0016858058226295988,1.1716579789156605,54062.08871069003,40966.80714668147,0.81095,0.2784345388412476,1.171657982066391,54062.0886789908
