target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,family,feature_removed
L1:Coinbase,unseeded ZSH,749,0.00028980522770402964,0.006772747217911828,23.376178583268164,34.36319205638644,34.36319205638644,34.36319205638644,0.009956275074895273,1.0,0.018233306632162875,21.164060605604472,25.74085322949782,32.341730712158586,36.41478799867445,32.341730712158586,36.41478799867445,32.341730712158586,36.41478799867445,,,,,,,,,,,,,,,,,,Coinbase,has_coinbase
L1:Coinbase,"seeded, all families",749,0.00028980522770402964,0.0069076305857101805,23.8417548817376,34.71839160965048,34.71839160965048,34.71839160965048,0.010059146935693885,1.0,0.018047208374148666,21.6224636315796,26.183475750496502,32.61538289409304,36.84551069628384,32.61538289409304,36.84551069628384,32.61538289409304,36.84551069628384,0.46557629846943627,0.32259368372616015,0.613087725876551,0.001998001998001998,0.3551995532640433,0.13148494227214672,0.5838868758963848,0.005994005994005994,0.3551995532640433,0.13148494227214672,0.5838868758963848,0.005994005994005994,0.3551995532640433,0.13148494227214672,0.5838868758963848,0.005994005994005994,0.001998001998001998,Coinbase,has_coinbase
L1:Coinbase,"seeded, family withheld",749,0.00028980522770402964,0.006907630585061409,23.841754879480156,34.71839160965048,34.71839160965048,34.71839160965048,0.010059146935693885,1.0,0.018047208374148666,21.622550857487564,26.183475750496502,32.61538289409304,36.84551069628384,32.61538289409304,36.84551069628384,32.61538289409304,36.84551069628384,0.46557629621199226,0.32259368372616015,0.6130877257444959,0.001998001998001998,0.3551995532640433,0.13148494227214672,0.5838868758963848,0.005994005994005994,0.3551995532640433,0.13148494227214672,0.5838868758963848,0.005994005994005994,0.3551995532640433,0.13148494227214672,0.5838868758963848,0.005994005994005994,0.001998001998001998,Coinbase,has_coinbase
L1:ManyInManyOut,unseeded ZSH,57088,0.022088417993028693,0.4881921618401529,22.101951187483905,25.260156163470832,23.958222000325748,23.958222000325748,0.5291956247414916,2.5,0.023455952855293845,21.856221992357973,22.383632649706353,23.80095154189103,27.17865408612467,23.68711374927646,24.24851618267758,23.68711374927646,24.24851618267758,,,,,,,,,,,,,,,,,,ManyInManyOut,
L1:ManyInManyOut,"seeded, all families",57088,0.022088417993028693,0.46828939324053936,21.20086904936884,24.052816190413672,24.052816190413672,23.95931920278601,0.5312819410581205,1.0,0.02058596768251917,20.972521049418855,21.451519383192316,23.786041321475526,24.343245194192697,23.786041321475526,24.343245194192697,23.712111198156638,24.284545519726873,-0.9010821381150649,-1.075808848269556,-0.7518753715023051,0.001998001998001998,-1.2073399730571595,-3.0685707988683015,0.16945771903173587,0.5734265734265734,0.0945941900879248,-0.02551667949674907,0.19452175261707993,0.11588411588411589,0.0010972024602615704,-0.09906121003847788,0.1520219039733919,0.7752247752247752,0.001998001998001998,ManyInManyOut,
L1:ManyInManyOut,"seeded, family withheld",57088,0.022088417993028693,0.4209771942588537,19.058821702079424,19.702943194405506,19.702943194405506,19.702943194405506,0.43520342609358476,2.0,0.0352119946670891,18.860365070431847,19.28279123099977,19.493853275455773,19.926930713773167,19.493853275455773,19.926930713773167,19.493853275455773,19.926930713773167,-3.0431294854044815,-3.2026346725147103,-2.8936570009660567,0.001998001998001998,-5.557212969065326,-7.405950379182177,-4.180774237780577,0.001998001998001998,-4.255278805920241,-4.418968325884287,-4.108464566622441,0.001998001998001998,-4.255278805920241,-4.418968325884287,-4.108464566622441,0.001998001998001998,0.001998001998001998,ManyInManyOut,
L1:SingleInFanOut,unseeded ZSH,48946,0.018938148485113042,0.42461987522419686,22.42170727673414,31.760414269687466,23.022834535184984,23.022834535184984,0.43600982945239586,2.0,0.02522816974278049,22.157374408459372,22.717438302321433,31.25139980670049,32.33243970393491,22.744550770642196,23.323554671017444,22.744550770642196,23.323554671017444,,,,,,,,,,,,,,,,,,SingleInFanOut,
L1:SingleInFanOut,"seeded, all families",48946,0.018938148485113042,0.3996471917651513,21.10307612566021,29.32455809457093,22.26233984005054,22.26233984005054,0.42160880297240977,2.0,0.026188130770749454,20.86178678328161,21.382421637157414,28.890892000727646,29.869544002401042,21.993719762663144,22.54449714396683,21.993719762663144,22.54449714396683,-1.3186311510739301,-1.4298085044394164,-1.2147904196309798,0.001998001998001998,-2.4358561751165375,-2.7699889714362604,-2.133824892511189,0.001998001998001998,-0.7604946951344438,-0.8391131225175,-0.6791679252119004,0.001998001998001998,-0.7604946951344438,-0.8391131225175,-0.6791679252119004,0.001998001998001998,0.001998001998001998,SingleInFanOut,
L1:SingleInFanOut,"seeded, family withheld",48946,0.018938148485113042,0.3653063131480964,19.289886310306404,29.103017577175486,18.231514111350382,18.231514111350382,0.34526922886209327,3.0,0.034349585708809804,18.964747780975678,19.509528291301457,28.65565549220769,29.647113557230938,18.039561799472168,18.491229049187705,18.039561799472168,18.491229049187705,-3.1318209664277354,-3.42370059795083,-3.0172245544744865,0.001998001998001998,-2.6573966925119805,-2.9627171654399755,-2.3706146120015434,0.001998001998001998,-4.791320423834602,-4.896044790314753,-4.653541479737215,0.001998001998001998,-4.791320423834602,-4.896044790314753,-4.653541479737215,0.001998001998001998,0.001998001998001998,SingleInFanOut,
L1:FanIn,unseeded ZSH,119797,0.04635151046824873,0.6453732070033984,13.92346039907306,17.027011110604064,14.374963864535037,13.847519541617768,0.6663010180805102,6.0,0.028239973707937002,13.764081404818034,14.049687612273289,16.822535075555393,17.238058381991134,14.243060779012941,14.67528917432576,13.640248658978665,13.990277509713389,,,,,,,,,,,,,,,,,,FanIn,
L1:FanIn,"seeded, all families",119797,0.04635151046824873,0.6331943899643403,13.66070900738344,13.902507418263948,13.902507418263948,13.623722629203371,0.6444028175714285,3.0,0.024855257493287177,13.531409908804568,13.803251773859222,13.746420148453277,14.125140948195872,13.739755172384248,14.125140948195872,13.474726696772844,13.76069585708911,-0.26275139168961914,-0.33005118109009535,-0.16026442991340908,0.001998001998001998,-3.1245036923401166,-3.2847332337433057,-2.912391092920752,0.001998001998001998,-0.47245644627108874,-0.7338053049914132,-0.3009332700558438,0.001998001998001998,-0.2237969124143966,-0.34121629304464024,-0.05100846715262861,0.013986013986013986,0.001998001998001998,FanIn,
L1:FanIn,"seeded, family withheld",119797,0.04635151046824873,0.6440995485269347,13.895994301791067,14.938228340712442,14.938228340712442,14.353373937526467,0.6924091849918508,2.0,0.032990589685378435,13.765020524475693,14.038950845816734,14.78434490783394,15.102399745823142,14.78434490783394,15.102399745823142,14.221653206085545,14.530733890495082,-0.027466097281992674,-0.08959228903775304,0.06510608273648234,0.7252747252747253,-2.0887827698916226,-2.2454486104712847,-1.9212228063265353,0.001998001998001998,0.5632644761774053,0.3350625529875694,0.6242861519334478,0.001998001998001998,0.505854395908699,0.44856483846182704,0.6628168795111391,0.001998001998001998,0.7252747252747253,FanIn,
L1:FanOut,unseeded ZSH,178490,0.06906123645484141,0.28584722088082115,4.139092977784495,6.914555652534597,5.938569227662377,3.707392675506823,0.4101195983087908,3.0,0.045899836291063964,4.093886580663851,4.184305956260191,6.819608301832798,7.016743662833325,5.854304986376687,6.032146611186736,3.606563019369413,3.819629141534816,,,,,,,,,,,,,,,,,,FanOut,
L1:FanOut,"seeded, all families",178490,0.06906123645484141,0.3766536587091357,5.453949523110769,7.396468382675637,7.259087919838648,5.85912590767962,0.5013198471029481,2.0,0.048661211055071665,5.395950151144015,5.513254282209007,7.294644029073272,7.503332925711146,7.176886176210543,7.3435072479078665,5.791140956429419,5.925902392148505,1.3148565453262737,1.2665539870485827,1.3718943494057643,0.001998001998001998,0.4819127301410404,0.369873299353813,0.6045332410576709,0.001998001998001998,1.3205186921762708,1.2291867671306178,1.4141136596511632,0.001998001998001998,2.151733232172797,2.028674893687092,2.2655769117310394,0.001998001998001998,0.001998001998001998,FanOut,
L1:FanOut,"seeded, family withheld",178490,0.06906123645484141,0.3416594954602868,4.94729519698196,7.5629846305256825,5.66967931021331,5.3835606901425495,0.39154845701699914,3.0,0.07409525729071754,4.892793323892173,5.001830500588252,7.448406733914637,7.677479005321053,5.60797473950041,6.265907075794052,5.062847852392015,5.440701049814265,0.8082022191974652,0.7678838738555304,0.860630371020921,0.001998001998001998,0.6484289779910855,0.5284271006394642,0.7718759343818077,0.001998001998001998,-0.26888991744906754,-0.32441688550180775,0.3144546922436638,0.5754245754245755,1.6761680146357265,1.3432844987703256,1.7920996733288261,0.001998001998001998,0.001998001998001998,FanOut,
L1:OneInOneOut,unseeded ZSH,505982,0.1957754234986831,0.8104652935170393,4.139956088746972,5.067393379125193,5.038335908162504,5.029055664708984,0.9863394333391462,2.0,0.08369020611844705,4.103396517336769,4.177604157784244,5.0093531575176495,5.1305113362226,4.982554234697494,5.103502885686719,4.971224978560722,5.09218280816449,,,,,,,,,,,,,,,,,,OneInOneOut,
